"Name","Invert_Elev","MaxDepth","InitDepth","SurDepth","Aponded"
40132,906.8177868,4,0,0,4
40133,916.6688992,0,0,0,0
40134,867.6707913,6.5,0,0,6.5
40143,981.665443,0,0,0,0
40144,1001.9890801,4.1,0,0,4.1
40145,997.3302914,4.1,0,0,4.1
40146,564.3959652,4,0,0,4
40222,253.0626217,0,0,0,0
40250,940.0989605,0,0,0,0
40419,261.4535519,11,0,0,11
40420,197.1162106,0,0,0,0
40739,769.0074764,0,0,0,0
41030,1022.8092974,0,0,0,0
41060,881.0252987,0,0,0,0
41061,942.1650158,0,0,0,0
41072,986.3419949,4.6,0,0,4.6
41073,998.4129578,3.5,0,0,3.5
41074,292.5907589,5,0,0,5
41075,301.5117794,0,0,0,0
41136,385.5314938,11.5,0,0,11.5
41143,307.0703121,0,0,0,0
41152,164.5099484,5.6,0,0,5.6
41154,732.9584042,0,0,0,0
41914,993.9880863,4.9,0,0,4.9
41930,1007.2098309,0,0,0,0
41953,784.3696285,5.1,0,0,5.1
41954,912.6283947,4.5,0,0,4.5
41955,867.0201717,5,0,0,5
41956,900.7566296,0,0,0,0
41957,943.6721798,0,0,0,0
41958,943.7477413,5,0,0,5
41959,916.2559277,0,0,0,0
41960,879.663467,6.2,0,0,6.2
41973,209.7763668,0,0,0,0
41974,378.5372921,0,0,0,0
41976,486.8499142,8.6,0,0,8.6
42043,686.0692745,9.5,0,0,9.5
42046,517.3902584,5.1,0,0,5.1
42095,1004.5843292,0,0,0,0
42844,1016.4661642,3,0,0,3
42854,1025.5789025,4.1,0,0,4.1
42866,912.8048931,0,0,0,0
42902,861.4471584,0,0,0,0
42903,896.0715023,0,0,0,0
42904,961.9565121,0,0,0,0
42912,523.7500301,0,0,0,0
42998,121.252441,0,0,0,0
43117,281.7006222,0,0,0,0
43118,277.4197384,0,0,0,0
43119,313.9714962,0,0,0,0
43260,798.1212002,0,0,0,0
43754,961.4838482,0,0,0,0
43755,1010.9178454,5.1,0,0,5.1
43756,997.5869576,0,0,0,0
43757,1017.1368023,0,0,0,0
43765,1025.1241178,4,0,0,4
43766,1025.8807268,0,0,0,0
43767,1025.8803935,0,0,0,0
43769,859.7334133,0,0,0,0
43810,273.2249752,4.5,0,0,4.5
43856,1013.0359016,0,0,0,0
43873,559.359985,4.2,0,0,4.2
43875,657.9309078,5,0,0,5
43889,277.4612423,8.5,0,0,8.5
43897,262.1427609,0,0,0,0
44023,350.0245358,0,0,0,0
44024,346.1780392,0,0,0,0
44655,968.1061169,5.8,0,0,5.8
44656,1010.3868767,5.6,0,0,5.6
44678,1024.4011952,0,0,0,0
44717,973.9028317,7,0,0,7
44718,377.7816769,0,0,0,0
44719,554.069183,0,0,0,0
44795,112.521484,0,0,0,0
44796,336.6356808,0,0,0,0
44799,723.7870174,0,0,0,0
44800,798.5702053,0,0,0,0
45015,102.7688595,6,0,0,6
45146,966.0326038,0,0,0,0
45578,992.9743,4.6,0,0,4.6
45579,1000.2793099,0,0,0,0
45587,1021.724351,0,0,0,0
45588,1009.7362896,0,0,0,0
45589,507.8359371,6,0,0,6
45628,875.5738522,0,0,0,0
45638,987.9835201,0,0,0,0
45639,244.2462154,0,0,0,0
45640,286.5347897,0,0,0,0
45641,358.2775265,0,0,0,0
45703,577.0503841,9.4,0,0,9.4
45704,309.5703732,0,0,0,0
45713,120.9290768,5.6,0,0,5.6
45715,361.6977535,0,0,0,0
45717,747.4848629,0,0,0,0
