"subc","nodes","x_coord","y_coord"
23,457,-157.753406333635,21.2823374290292
23,458,-157.753697083554,21.2822812214013
23,459,-157.753697083554,21.2822812214013
23,460,-157.753697083554,21.2822812214013
23,461,-157.753629677568,21.2822655174397
23,462,-157.753629677568,21.2822655174397
23,463,-157.753602874173,21.2822663592052
23,464,-157.754448598424,21.2821100462417
23,465,-157.754241561899,21.2821146615624
23,466,-157.754241561899,21.2821146615624
23,467,-157.754144319105,21.282120781449
23,468,-157.754144319105,21.282120781449
23,469,-157.754144319105,21.282120781449
23,470,-157.754443331095,21.2820541039138
23,471,-157.754443331095,21.2820541039138
23,472,-157.754428571421,21.2820220232978
23,473,-157.754428571421,21.2820220232978
23,474,-157.754428571421,21.2820220232978
24,475,-157.754987322907,21.3006572261501
24,476,-157.755313529496,21.3006959239777
24,477,-157.755313529496,21.3006959239777
24,478,-157.755436044138,21.3005978241303
24,479,-157.755436044138,21.3005978241303
24,480,-157.755872930291,21.3006476043035
24,481,-157.756157938938,21.3009374000411
24,482,-157.756280272816,21.3009484994737
24,483,-157.756280272816,21.3009484994737
24,484,-157.756327379305,21.3006482680032
24,485,-157.756327379305,21.3006482680032
24,486,-157.756380382649,21.3003043654542
24,487,-157.756380382649,21.3003043654542
24,488,-157.756421672322,21.2999986661056
24,489,-157.756421672322,21.2999986661056
24,490,-157.756229415255,21.299992925733
24,491,-157.756229415255,21.299992925733
25,492,-157.75782613187,21.2894395577894
25,493,-157.75782613187,21.2894395577894
25,494,-157.757869712117,21.2892837394531
25,495,-157.757336981616,21.2899418291522
25,496,-157.757336981616,21.2899418291522
25,497,-157.757336981616,21.2899418291522
25,498,-157.757319156154,21.2898404836515
25,499,-157.757209284181,21.2901190315681
25,500,-157.757131055754,21.2903552142218
25,501,-157.757156056007,21.2901129107823
25,502,-157.757156056007,21.2901129107823
25,503,-157.757156056007,21.2901129107823
25,504,-157.757081697362,21.2902284880543
25,505,-157.757081697362,21.2902284880543
25,506,-157.757081697362,21.2902284880543
